0.0487832 	0.134666 	-0.0345807 	7.97402e-24
0.0487949 	0.498328 	-0.11787 	-4.02873e-18
0.0488072 	0.971311 	-0.228996 	-2.37692e-18
0.0488203 	1.57943 	-0.372953 	7.04243e-18
0.0488346 	2.34416 	-0.551839 	4.55051e-18
0.0488506 	3.24846 	-0.757066 	-4.31472e-18
0.0488687 	4.22301 	-0.975373 	-2.27587e-23
0.0488895 	5.20578 	-1.1953 	3.34398e-18
0.0489135 	6.18132 	-1.40745 	-2.94013e-18
0.0489414 	7.16041 	-1.61076 	2.63478e-18
0.0489741 	8.16175 	-1.81056 	-2.11176e-21
0.0490125 	9.20699 	-2.00957 	-3.78104e-18
0.0490577 	10.3136 	-2.20894 	1.51127e-18
0.049111 	11.491 	-2.41098 	1.5258e-18
0.0491739 	12.7427 	-2.61535 	1.98355e-18
0.0492483 	14.067 	-2.81989 	-3.45931e-18
0.0493364 	15.456 	-3.02204 	-3.36292e-18
0.0494406 	16.8963 	-3.21885 	-1.94057e-22
0.049564 	18.3716 	-3.40735 	6.0804e-18
0.0497102 	19.8682 	-3.58566 	-2.82743e-18
0.0498833 	21.3853 	-3.75433 	1.79155e-18
0.0500885 	22.9431 	-3.91737 	-2.47299e-18
0.0503316 	24.5773 	-4.08004 	7.10999e-19
0.0506196 	26.3077 	-4.24207 	-7.75923e-19
0.050961 	28.1036 	-4.39461 	1.5188e-18
0.0513655 	29.8601 	-4.51668 	-2.35576e-18
0.0518449 	31.3462 	-4.57076 	-9.02865e-21
0.052413 	32.5973 	-4.58462 	1.21577e-18
0.0530862 	33.6994 	-4.56459 	1.10476e-22
0.0538841 	34.6591 	-4.50703 	-7.38214e-21
0.0548296 	35.4421 	-4.40721 	9.15004e-21
0.0559502 	36.12 	-4.27872 	6.26932e-19
0.0572781 	36.776 	-4.13205 	-5.61216e-19
0.0588518 	37.4324 	-3.96624 	-3.77168e-19
0.0607166 	38.0985 	-3.78353 	3.29202e-19
0.0629265 	38.7879 	-3.58641 	1.47946e-20
0.0649679 	39.3617 	-3.41841 	-1.66588e-19
0.066388 	39.7249 	-3.30899 	-1.12348e-19
0.0686476 	40.2362 	-3.15189 	1.82413e-19
0.0723238 	40.9536 	-2.9154 	3.12871e-23
0.0766802 	41.5986 	-2.66415 	-1.14148e-19
0.0818426 	42.0756 	-2.39965 	2.3971e-19
0.0879599 	42.3213 	-2.11699 	-8.60304e-20
0.0952089 	42.2456 	-1.83408 	2.36722e-19
0.103799 	42.0791 	-1.5395 	-1.23665e-19
0.113978 	41.8857 	-1.28015 	8.11478e-20
0.12604 	41.6454 	-1.0015 	-3.71148e-20
0.140334 	41.3959 	-0.797755 	8.81019e-20
0.157273 	41.086 	-0.547308 	1.90065e-19
0.177346 	40.799 	-0.434254 	1.93831e-19
0.201134 	40.4462 	-0.214723 	2.6058e-19
0.229324 	40.1724 	-0.230289 	1.65704e-20
0.262733 	39.8371 	-0.022807 	-1.05107e-19
0.302326 	39.5875 	-0.209203 	-2.73015e-19
0.349249 	39.3392 	0.0574 	4.02098e-19
